Num Users,Type,Name,Request Count,Failure Count,Failure %,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
100,,Aggregated,9893,0,0.00%,180.0,258.30222746398016,115.86150000221096,5602.079999996931,22.0,66.30832931112255,0.0,180,220,270,310,450,630,900,1300,1700,5600,5600
200,,Aggregated,16116,0,0.00%,350.0,596.9999052928756,118.62049999763258,7085.760700007086,22.0,108.04254347448094,0.0,350,580,740,880,1500,1900,2400,2700,3500,6300,7100
300,,Aggregated,12076,0,0.00%,1800.0,2347.2944308877295,157.1540000004461,10002.088400011417,22.0,81.02026896650116,0.0,1800,2700,3300,3600,4700,5900,7300,8800,9900,10000,10000
400,,Aggregated,16518,0,0.00%,2000.0,2387.664283357508,452.4431000027107,13917.969300004188,22.0,110.92859497716655,0.0,2000,2600,3100,3400,4100,5000,8500,9200,10000,12000,14000
500,,Aggregated,15767,0,0.00%,3000.0,3428.1432931248974,546.3031999970553,13348.686299999827,22.0,105.95280912942933,0.0,3000,3600,3900,4300,5900,7700,12000,13000,13000,13000,13000
600,,Aggregated,15513,0,0.00%,3900.0,4488.967116102663,1453.930700008641,10593.977199998335,22.0,104.36996476051641,0.0,3900,5000,6100,6400,7800,9000,9800,10000,11000,11000,11000
700,,Aggregated,15512,0,0.00%,4800.0,5471.537788815109,2187.7945000014734,10886.292800001684,22.0,104.41123791929633,0.0,4800,6900,7400,7700,8800,9400,10000,11000,11000,11000,11000
800,,Aggregated,20790,0,0.00%,4000.0,4483.439898701313,2064.4745999888983,12883.255100008682,22.0,140.00841258726712,0.0,4000,4500,5000,5300,6500,9100,12000,12000,13000,13000,13000
900,,Aggregated,21807,0,0.00%,4600.0,4889.8503116430575,2472.2882000060054,7801.411599997664,22.0,146.01886875696738,0.0,4600,5400,5800,6000,6700,7200,7500,7600,7700,7800,7800
1000,,Aggregated,23769,0,0.00%,4700.0,4943.929737073473,2917.1015999891097,9440.259700000752,22.0,159.30772407022866,0.0,4700,5200,5500,5800,6500,7900,8600,8800,9400,9400,9400
1100,,Aggregated,21805,0,0.00%,6300.0,6297.457520353109,3724.233599990839,11936.505400008173,22.0,146.41303510834683,0.0,6300,6700,6900,7400,8000,8400,8700,9100,9500,12000,12000
1200,,Aggregated,46313,0,0.00%,2500.0,2565.9093798221206,1151.6435999947134,5601.156499993522,22.0,313.12059010174494,0.0,2500,2800,3100,3300,3800,4000,4500,5200,5400,5400,5600
1300,,Aggregated,19622,4,0.02%,8400.0,8549.726460294578,5034.6149999968475,15555.27689999144,21.995515237998166,131.95460043100337,0.026899317180920066,8400,9700,11000,11000,12000,13000,15000,15000,16000,16000,16000
1400,,Aggregated,21462,2,0.01%,7800.0,8459.604262804063,5419.290699996054,15765.268799994374,21.99794986487746,144.1738701448725,0.013435268860765306,7800,8800,9700,10000,12000,13000,13000,13000,14000,15000,16000
1500,,Aggregated,46595,0,0.00%,3300.0,3424.558053055054,2072.1880000055535,5964.12620000774,22.0,317.1152182624241,0.0,3300,3600,3800,4000,4700,5200,5500,5700,5900,6000,6000
1600,,Aggregated,22881,0,0.00%,8900.0,9083.88016121246,6003.631200001109,13752.60690000141,22.0,154.25170252513834,0.0,8900,9600,10000,11000,12000,13000,13000,14000,14000,14000,14000
1700,,Aggregated,49909,0,0.00%,3600.0,3713.7378614798417,2240.360800002236,5927.091399993515,22.0,341.34151731292644,0.0,3600,3900,4100,4200,4900,5500,5700,5800,5900,5900,5900
1800,,Aggregated,48179,1,0.00%,3800.0,4223.762479179655,64.95709999580868,7767.488099998445,22.010045870607527,324.5163508785334,0.006735638989570837,3800,4500,5100,5500,6100,6400,7200,7600,7700,7800,7800
1900,,Aggregated,21419,0,0.00%,11000.0,12116.632981819854,8407.551200012676,19486.273000002257,22.0,144.73907607763385,0.0,11000,13000,14000,15000,16000,16000,18000,18000,19000,19000,19000
2000,,Aggregated,21305,0,0.00%,12000.0,12543.9920119268,8640.522199988482,18027.16440000222,22.0,144.189978547751,0.0,12000,13000,14000,15000,16000,16000,17000,18000,18000,18000,18000
2100,,Aggregated,21717,2851,13.13%,13000.0,13135.036515706599,56.56029999954626,22320.449499995448,19.29824561403509,146.22400650230222,19.196235324311075,13000,14000,15000,16000,17000,18000,19000,19000,20000,21000,22000
2200,,Aggregated,22210,2485,11.19%,13000.0,13328.882585650668,64.81410001288168,30271.56790001027,19.584061233678522,149.58464677650497,16.736508205295582,13000,14000,15000,15000,17000,18000,18000,19000,21000,29000,30000
2300,,Aggregated,23720,4840,20.40%,13000.0,13093.359673115541,60.0758000073256,27708.72869998857,17.916273187183812,158.75909254608064,32.39435109287649,13000,14000,15000,15000,17000,20000,23000,24000,25000,27000,28000
2400,,Aggregated,23117,6664,28.83%,13000.0,13658.336873348619,54.620300012174994,37700.87469999271,26.62421594497556,154.8091622618657,44.62725515045521,13000,16000,17000,17000,18000,20000,24000,26000,28000,36000,38000
